DEPP;CODCOMP;COMP;Commune pôle;DEP;CODCOM;COM;Commune;PMUN;PCAP;PTOT
52;353;52353;Nogent;52;191;52191;Essey-les-Eaux;49;1;50
52;114;52114;Châteauvillain;52;192;52192;Essey-les-Ponts;83;0;83
52;497;52497;Troisfontaines-la-Ville;52;202;52202;Flornoy;84;1;85
52;377;52377;Parnoy-en-Bassigny;52;209;52209;Fresnoy-en-Bassigny;112;4;116
70;122;70122;Champlitte;52;210;52210;Frettes;108;3;111
52;060;52060;Bourbonne-les-Bains;52;215;52215;Genrupt;53;0;53
52;064;52064;Bourmont-entre-Meuse-et-Mouzon;52;224;52224;Gonaincourt;50;0;50
52;064;52064;Bourmont-entre-Meuse-et-Mouzon;52;225;52225;Goncourt;215;7;222
52;265;52265;Bayard-sur-Marne;52;226;52226;Gourzon;491;12;503
52;288;52288;Lezéville;52;236;52236;Harméville;34;1;35
52;140;52140;Colombey les Deux Églises;52;238;52238;Harricourt;41;0;41
52;529;52529;Villegusien-le-Lac;52;239;52239;Heuilley-Cotton;265;6;271
52;246;52246;Humes-Jorquenay;52;252;52252;Jorquenay;143;2;145
52;251;52251;Jonchery;52;259;52259;Laharmand;122;2;124
52;094;52094;Vals-des-Tilles;52;261;52261;Lamargelle-aux-Bois;18;0;18
52;140;52140;Colombey les Deux Églises;52;262;52262;Lamothe-en-Blaisy;64;1;65
52;173;52173;Domremy-Landéville;52;263;52263;Landéville;16;1;17
52;288;52288;Lezéville;52;268;52268;Laneuville-au-Bois;34;0;34
52;432;52432;Rolampont;52;270;52270;Lannes;175;2;177
52;140;52140;Colombey les Deux Églises;52;279;52279;Lavilleneuve-aux-Fresnes;21;0;21
52;332;52332;Val-de-Meuse;52;281;52281;Lécourt;52;2;54
52;332;52332;Val-de-Meuse;52;283;52283;Lénizeul;76;0;76
52;411;52411;Rives Dervoises;52;293;52293;Longeville-sur-la-Laines;404;3;407
52;411;52411;Rives Dervoises;52;296;52296;Louze;298;5;303
52;456;52456;Saint-Urbain-Maconcourt;52;299;52299;Maconcourt;36;2;38
52;058;52058;Bologne;52;309;52309;Marault;245;5;250
52;114;52114;Châteauvillain;52;314;52314;Marmesse;56;0;56
52;332;52332;Val-de-Meuse;52;317;52317;Maulain;63;2;65
52;074;52074;Breuvannes-en-Bassigny;52;324;52324;Meuvy;70;3;73
52;388;52388;Pierremont-sur-Amance;52;329;52329;Montesson;37;1;38
52;331;52331;La Porte du Der;52;331;52331;Montier-en-Der;1841;50;1891
52;242;52242;Haute-Amance;52;333;52333;Montlandon;165;5;170
52;469;52469;Semoutiers-Montsaon;52;339;52339;Montsaon;437;6;443
52;405;52405;Le Montsaugeonnais;52;340;52340;Montsaugeon;79;1;80
52;094;52094;Vals-des-Tilles;52;345;52345;Musseau;43;1;44
52;064;52064;Bourmont-entre-Meuse-et-Mouzon;52;351;52351;Nijon;93;0;93
52;353;52353;Nogent;52;361;52361;Odival;194;1;195
52;274;52274;Latrecey-Ormoy-sur-Aube;52;368;52368;Ormoy-sur-Aube;56;0;56
52;187;52187;Épizon;52;379;52379;Pautaines-Augeville;27;0;27
52;292;52292;Longeau-Percey;52;381;52381;Percey-le-Pautel;197;0;197
52;529;52529;Villegusien-le-Lac;52;387;52387;Piépape;108;1;109
