Nom géographique GMS;Code géographique;Libellé géographique;[DISP] Nbre de ménages fiscaux;[DISP] Nbre de personnes dans les ménages fiscaux;[DISP] Nbre d'unités de consommation dans les ménages fiscaux;[DISP] 1ᵉʳ quartile (€);[DISP] Médiane (€);[DISP] 3ᵉ quartile (€);[DISP] Écart interquartile (€);[DISP] 1ᵉʳ décile (€);[DISP] 2ᵉ décile (€);[DISP]3ᵉ décile (€);[DISP] 4ᵉ décile (€);[DISP] 6ᵉ décile (€);[DISP] 7ᵉ décile (€);[DISP] 8ᵉ décile (€);[DISP] 9ᵉ décile (€);[DISP] Rapport interdécile 9ᵉ décile/1ᵉʳ decile;[DISP] S80/20;[DISP] Iice de Gini;[DISP] Part des revenus d’activité (%);[DISP] dont part des salaires et traitements(%);[DISP] dont part des iemnités de chômage (%);[DISP] dont part des revenus des activités non salariées (%);[DISP] Part des pensions, retraites et rentes (%);[DISP] Part des revenus du patrimoine et autres revenus (%);[DISP] Part de l'ensemble des prestations sociales (%);[DISP] dont part des prestations familiales (%);[DISP] dont part des minima sociaux (%);[DISP] dont part des prestations logement (%);[DISP] Part des impôts (%);[DEC] Nbre de ménages fiscaux;[DEC] Nbre de personnes dans les ménages fiscaux;[DEC] Nbre d'unités de consommation dans les ménages fiscaux;[DEC] Part des ménages fiscaux imposés (%);[DEC] 1ᵉʳ quartile (€);[DEC] Médiane (€);[DEC] 3ᵉ quartile (€);[DEC] Écart interquartile (€);[DEC] 1ᵉʳ décile (€);[DEC] 2ᵉ décile (€);[DEC] 3ᵉ décile  (€);[DEC] 4ᵉ décile (€);[DEC] 6ᵉ décile (€);[DEC] 7ᵉ décile (€);[DEC] 8ᵉ décile (€);[DEC] 9ᵉ décile (€);[DEC] Rapport interdécile D9/D1;[DEC] S80/S20;[DEC] Iice de Gini;[DEC] Part des revenus d’activité (%);[DEC] dont part des salaires et traitements (%);[DEC] dont part des iemnités de chômage (%);[DEC] dont part des revenus des activités non salariées (%);[DEC] Part des pensions, retraites et rentes (%);[DEC] Part des autres revenus (%)
La Porcherie;87120;La Porcherie;241;504;361.9;;20110;;;;;;;;;;;;;;;;;;;;;;;;;242;506;363.4;;;20110;;;;;;;;;;;;;;;;;;;
Rancon;87121;Rancon;233;455;332.5;;18480;;;;;;;;;;;;;;;;;;;;;;;;;232;455;332;;;17960;;;;;;;;;;;;;;;;;;;
Razès;87122;Razès;513;1123;785.9;;23090;;;;;;;;;;;;;;;;;;;;;;;;;514;1124;786.9;;;22500;;;;;;;;;;;;;;;;;;;
Rempnat;87123;Rempnat;69;132;98;;17850;;;;;;;;;;;;;;;;;;;;;;;;;69;132;98;;;17340;;;;;;;;;;;;;;;;;;;
Rilhac-Lastours;87124;Rilhac-Lastours;173;341;249.4;;21300;;;;;;;;;;;;;;;;;;;;;;;;;173;341;249.4;;;20530;;;;;;;;;;;;;;;;;;;
Rilhac-Rancon;87125;Rilhac-Rancon;1942;4607;3141.3;20180;25000;31240;11050;16010;19170;21170;23160;27060;29630;32900;38960;2.4;3;0.22;70.8;65.2;1.7;3.9;34.8;7.2;3.2;1.6;1.2;0.4;-16;1943;4609;3142.8;64;19450;25550;32850;13390;13530;18180;20730;23010;27980;31070;35420;43220;3,2;4.1;0.27;63.4;58.3;1.6;3.5;32;4.6
Rochechouart;87126;Rochechouart;1801;3528;2588.5;16860;21820;27410;10560;12340;15630;18070;19980;23800;26150;29150;34860;2.8;3.5;0.244;55.9;48.7;1.9;5.3;43.6;9.3;4.6;1.2;2.5;0.9;-13.4;1802;3529;2589.5;47;15610;21670;28360;12760;9010;14050;17060;19320;24080;26900;30680;37120;4,1;5.6;0.309;51.9;45.1;1.9;4.9;41.7;6.4
La Roche-l'Abeille;87127;La Roche-l'Abeille;264;580;406.9;;21420;;;;;;;;;;;;;;;;;;;;;;;;;265;582;408.4;;;20860;;;;;;;;;;;;;;;;;;;
Saint-Pardoux-le-Lac;87128;Saint-Pardoux-le-Lac;621;1343;938;;21330;;;;;;;;;;;;;;;;;;;;;;;;;620;1342;937;;;20850;;;;;;;;;;;;;;;;;;;
Royères;87129;Royères;402;945;643.1;;23750;;;;;;;;;;;;;;;;;;;;;;;;;402;945;643.1;;;23990;;;;;;;;;;;;;;;;;;;
Roziers-Saint-Georges;87130;Roziers-Saint-Georges;78;154;111;;23740;;;;;;;;;;;;;;;;;;;;;;;;;78;154;111;;;24400;;;;;;;;;;;;;;;;;;;
Saillat-sur-Vienne;87131;Saillat-sur-Vienne;415;810;590.1;;20730;;;;;;;;;;;;;;;;;;;;;;;;;415;810;590.1;;;19870;;;;;;;;;;;;;;;;;;;
Saint-Amand-le-Petit;87132;Saint-Ama-le-Petit;56;122;86;;18650;;;;;;;;;;;;;;;;;;;;;;;;;56;122;86;;;17470;;;;;;;;;;;;;;;;;;;
Saint-Amand-Magnazeix;87133;Saint-Ama-Magnazeix;231;490;348.3;;20120;;;;;;;;;;;;;;;;;;;;;;;;;229;485;345.2;;;19360;;;;;;;;;;;;;;;;;;;
Sainte-Anne-Saint-Priest;87134;Sainte-Anne-Saint-Priest;76;147;106.8;;20280;;;;;;;;;;;;;;;;;;;;;;;;;76;147;106.8;;;18970;;;;;;;;;;;;;;;;;;;
Saint-Auvent;87135;Saint-Auvent;455;947;675.5;;20750;;;;;;;;;;;;;;;;;;;;;;;;;455;947;675.5;;;20230;;;;;;;;;;;;;;;;;;;
Saint-Bazile;87137;Saint-Bazile;63;121;90.4;;16660;;;;;;;;;;;;;;;;;;;;;;;;;64;123;91.9;;;16400;;;;;;;;;;;;;;;;;;;
Saint-Bonnet-Briance;87138;Saint-Bonnet-Briance;261;554;387.3;;21430;;;;;;;;;;;;;;;;;;;;;;;;;261;554;387.3;;;21500;;;;;;;;;;;;;;;;;;;
Saint-Bonnet-de-Bellac;87139;Saint-Bonnet-de-Bellac;195;375;278.6;;19390;;;;;;;;;;;;;;;;;;;;;;;;;195;375;278.6;;;18590;;;;;;;;;;;;;;;;;;;
Saint-Brice-sur-Vienne;87140;Saint-Brice-sur-Vienne;746;1698;1168;;22730;;;;;;;;;;;;;;;;;;;;;;;;;745;1695;1166.2;;;22570;;;;;;;;;;;;;;;;;;;
Saint-Cyr;87141;Saint-Cyr;321;681;484.2;;22060;;;;;;;;;;;;;;;;;;;;;;;;;320;676;481.8;;;22310;;;;;;;;;;;;;;;;;;;
Saint-Denis-des-Murs;87142;Saint-Denis-des-Murs;223;497;344.4;;22160;;;;;;;;;;;;;;;;;;;;;;;;;222;493;342.1;;;22150;;;;;;;;;;;;;;;;;;;
Saint-Gence;87143;Saint-Gence;885;2213;1471;20150;24730;29800;9650;15700;18950;21060;22810;26440;28500;31760;37650;2.4;3;0.224;79.2;72.5;1.6;5.1;27.4;6.3;3.4;1.8;1.2;0.4;-16.3;886;2214;1472;62;19350;24910;31410;12070;13740;17700;20560;22760;26980;29620;33550;41530;3,0;4.3;0.281;70.9;64.8;1.5;4.6;25.1;4
Saint-Genest-sur-Roselle;87144;Saint-Genest-sur-Roselle;212;540;354.7;;22190;;;;;;;;;;;;;;;;;;;;;;;;;212;540;354.7;;;22190;;;;;;;;;;;;;;;;;;;
Saint-Georges-les-Landes;87145;Saint-Georges-les-Laes;119;225;168.6;;19640;;;;;;;;;;;;;;;;;;;;;;;;;120;226;169.6;;;18550;;;;;;;;;;;;;;;;;;;
Saint-Germain-les-Belles;87146;Saint-Germain-les-Belles;466;935;676.1;;21940;;;;;;;;;;;;;;;;;;;;;;;;;466;935;676.1;;;21560;;;;;;;;;;;;;;;;;;;
Saint-Gilles-les-Forêts;87147;Saint-Gilles-les-Forêts;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Saint-Hilaire-Bonneval;87148;Saint-Hilaire-Bonneval;394;983;651.1;;24420;;;;;;;;;;;;;;;;;;;;;;;;;394;983;651.1;;;24220;;;;;;;;;;;;;;;;;;;
Saint-Hilaire-la-Treille;87149;Saint-Hilaire-la-Treille;167;327;240.5;;20340;;;;;;;;;;;;;;;;;;;;;;;;;167;327;240.5;;;19710;;;;;;;;;;;;;;;;;;;
Saint-Hilaire-les-Places;87150;Saint-Hilaire-les-Places;393;861;603.1;;21920;;;;;;;;;;;;;;;;;;;;;;;;;393;861;603.1;;;21100;;;;;;;;;;;;;;;;;;;
Saint-Jean-Ligoure;87151;Saint-Jean-Ligoure;199;478;319.1;;22510;;;;;;;;;;;;;;;;;;;;;;;;;198;476;317.6;;;22330;;;;;;;;;;;;;;;;;;;
Saint-Jouvent;87152;Saint-Jouvent;710;1631;1119.9;;24230;;;;;;;;;;;;;;;;;;;;;;;;;709;1630;1118.9;;;24660;;;;;;;;;;;;;;;;;;;
Saint-Julien-le-Petit;87153;Saint-Julien-le-Petit;146;263;200.5;;18020;;;;;;;;;;;;;;;;;;;;;;;;;145;258;197.7;;;17750;;;;;;;;;;;;;;;;;;;
Saint-Junien;87154;Saint-Junien;5438;10493;7701.6;16710;22060;28220;11500;12360;15460;17980;19960;24220;26700;30010;35030;2.8;3.5;0.242;62.2;56.1;2.2;3.9;38.2;6.6;6.5;1.7;3.4;1.4;-13.5;5436;10491;7699.6;46;15080;21720;29010;13930;7400;13130;16640;19340;24310;27280;31360;37570;5,1;6.8;0.32;58.8;52.9;2.2;3.7;37.2;4
Saint-Junien-les-Combes;87155;Saint-Junien-les-Combes;81;165;120.1;;22670;;;;;;;;;;;;;;;;;;;;;;;;;81;165;120.1;;;22620;;;;;;;;;;;;;;;;;;;
Saint-Just-le-Martel;87156;Saint-Just-le-Martel;1056;2708;1794.6;20440;25500;31710;11270;15620;19360;21700;23580;27550;30100;33670;40050;2.6;3.3;0.239;81.7;75;2.1;4.6;26.4;7.4;2.9;1.5;1;0.4;-18.4;1056;2708;1794.6;66;19780;25940;33960;14180;14300;18330;21180;23380;28300;32080;36280;44580;3,1;4.4;0.295;71.4;65.5;1.9;4;23.7;4.9
Saint-Laurent-les-Églises;87157;Saint-Laurent-les-Églises;369;857;585.6;;22710;;;;;;;;;;;;;;;;;;;;;;;;;368;853;583.3;;;23150;;;;;;;;;;;;;;;;;;;
Saint-Laurent-sur-Gorre;87158;Saint-Laurent-sur-Gorre;624;1409;970.6;;21060;;;;;;;;;;;;;;;;;;;;;;;;;627;1414;974.6;;;20430;;;;;;;;;;;;;;;;;;;
Saint-Léger-la-Montagne;87159;Saint-Léger-la-Montagne;166;336;241.2;;21540;;;;;;;;;;;;;;;;;;;;;;;;;166;336;241.2;;;22110;;;;;;;;;;;;;;;;;;;
