Nom géographique GMS;Code géographique;Libellé géographique;[DISP] Nbre de ménages fiscaux;[DISP] Nbre de personnes dans les ménages fiscaux;[DISP] Nbre d'unités de consommation dans les ménages fiscaux;[DISP] 1ᵉʳ quartile (€);[DISP] Médiane (€);[DISP] 3ᵉ quartile (€);[DISP] Écart interquartile (€);[DISP] 1ᵉʳ décile (€);[DISP] 2ᵉ décile (€);[DISP]3ᵉ décile (€);[DISP] 4ᵉ décile (€);[DISP] 6ᵉ décile (€);[DISP] 7ᵉ décile (€);[DISP] 8ᵉ décile (€);[DISP] 9ᵉ décile (€);[DISP] Rapport interdécile 9ᵉ décile/1ᵉʳ decile;[DISP] S80/20;[DISP] Iice de Gini;[DISP] Part des revenus d’activité (%);[DISP] dont part des salaires et traitements(%);[DISP] dont part des iemnités de chômage (%);[DISP] dont part des revenus des activités non salariées (%);[DISP] Part des pensions, retraites et rentes (%);[DISP] Part des revenus du patrimoine et autres revenus (%);[DISP] Part de l'ensemble des prestations sociales (%);[DISP] dont part des prestations familiales (%);[DISP] dont part des minima sociaux (%);[DISP] dont part des prestations logement (%);[DISP] Part des impôts (%);[DEC] Nbre de ménages fiscaux;[DEC] Nbre de personnes dans les ménages fiscaux;[DEC] Nbre d'unités de consommation dans les ménages fiscaux;[DEC] Part des ménages fiscaux imposés (%);[DEC] 1ᵉʳ quartile (€);[DEC] Médiane (€);[DEC] 3ᵉ quartile (€);[DEC] Écart interquartile (€);[DEC] 1ᵉʳ décile (€);[DEC] 2ᵉ décile (€);[DEC] 3ᵉ décile  (€);[DEC] 4ᵉ décile (€);[DEC] 6ᵉ décile (€);[DEC] 7ᵉ décile (€);[DEC] 8ᵉ décile (€);[DEC] 9ᵉ décile (€);[DEC] Rapport interdécile D9/D1;[DEC] S80/S20;[DEC] Iice de Gini;[DEC] Part des revenus d’activité (%);[DEC] dont part des salaires et traitements (%);[DEC] dont part des iemnités de chômage (%);[DEC] dont part des revenus des activités non salariées (%);[DEC] Part des pensions, retraites et rentes (%);[DEC] Part des autres revenus (%)
Caudecoste;47060;Caudecoste;440;1018;692.8;;22250;;;;;;;;;;;;;;;;;;;;;;;;;440;1018;692.8;;;21570;;;;;;;;;;;;;;;;;;;
Caumont-sur-Garonne;47061;Caumont-sur-Garonne;293;731;484.4;;20750;;;;;;;;;;;;;;;;;;;;;;;;;293;731;484.4;;;20100;;;;;;;;;;;;;;;;;;;
Cauzac;47062;Cauzac;166;385;261.7;;22830;;;;;;;;;;;;;;;;;;;;;;;;;166;385;261.7;;;22240;;;;;;;;;;;;;;;;;;;
Cavarc;47063;Cavarc;73;154;110.1;;19660;;;;;;;;;;;;;;;;;;;;;;;;;73;154;110.1;;;19350;;;;;;;;;;;;;;;;;;;
Cazideroque;47064;Cazideroque;99;226;156;;19320;;;;;;;;;;;;;;;;;;;;;;;;;100;227;157;;;18730;;;;;;;;;;;;;;;;;;;
Clairac;47065;Clairac;1058;2273;1603.7;15470;20610;26940;11470;11540;14200;16530;18890;22600;25440;28660;36000;3.1;4;0.271;64.3;56.4;3.1;4.8;33.4;9.6;6.1;1.9;3;1.2;-13.4;1058;2273;1603.7;39;13610;20060;27600;13990;7400;11910;15050;17660;22650;25750;29940;38590;5,2;7.1;0.345;60.6;53;3.1;4.5;32.6;6.8
Clermont-Dessous;47066;Clermont-Dessous;305;722;491.6;;21310;;;;;;;;;;;;;;;;;;;;;;;;;304;718;489.1;;;20300;;;;;;;;;;;;;;;;;;;
Clermont-Soubiran;47067;Clermont-Soubiran;148;350;238.7;;21060;;;;;;;;;;;;;;;;;;;;;;;;;148;350;238.7;;;20760;;;;;;;;;;;;;;;;;;;
Cocumont;47068;Cocumont;497;1085;760.3;;20580;;;;;;;;;;;;;;;;;;;;;;;;;498;1085;760.8;;;19700;;;;;;;;;;;;;;;;;;;
Colayrac-Saint-Cirq;47069;Colayrac-Saint-Cirq;1234;2920;1975;16080;21960;28690;12610;12320;14930;17290;19980;24360;27310;30900;37260;3;3.7;0.261;67.4;58.3;3.1;6;32.5;8.9;5.9;2.4;2.6;0.9;-14.7;1232;2917;1972.4;51;13860;21360;29420;15550;8860;12560;15880;18880;24650;27740;32490;39820;4,5;6.4;0.334;62.8;54.1;3.1;5.6;31.1;6.1
Condezaygues;47070;Coezaygues;366;768;549.6;;20390;;;;;;;;;;;;;;;;;;;;;;;;;366;768;549.6;;;19920;;;;;;;;;;;;;;;;;;;
Coulx;47071;Coulx;94;198;140.1;;19810;;;;;;;;;;;;;;;;;;;;;;;;;94;198;140.1;;;18820;;;;;;;;;;;;;;;;;;;
Courbiac;47072;Courbiac;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cours;47073;Cours;80;179;124.6;;23100;;;;;;;;;;;;;;;;;;;;;;;;;81;180;125.6;;;23320;;;;;;;;;;;;;;;;;;;
Couthures-sur-Garonne;47074;Couthures-sur-Garonne;153;283;211;;18850;;;;;;;;;;;;;;;;;;;;;;;;;153;283;211;;;19170;;;;;;;;;;;;;;;;;;;
La Croix-Blanche;47075;La Croix-Blanche;414;1009;674;;25250;;;;;;;;;;;;;;;;;;;;;;;;;414;1009;674;;;25000;;;;;;;;;;;;;;;;;;;
Cuq;47076;Cuq;107;234;163.2;;23350;;;;;;;;;;;;;;;;;;;;;;;;;107;234;163.2;;;22370;;;;;;;;;;;;;;;;;;;
Cuzorn;47077;Cuzorn;368;774;550.3;;19710;;;;;;;;;;;;;;;;;;;;;;;;;369;778;552.6;;;18720;;;;;;;;;;;;;;;;;;;
Damazan;47078;Damazan;552;1088;789.4;;20400;;;;;;;;;;;;;;;;;;;;;;;;;552;1088;789.4;;;19540;;;;;;;;;;;;;;;;;;;
Dausse;47079;Dausse;209;477;328.8;;21180;;;;;;;;;;;;;;;;;;;;;;;;;209;477;328.8;;;20410;;;;;;;;;;;;;;;;;;;
Dévillac;47080;Dévillac;70;146;105.4;;20380;;;;;;;;;;;;;;;;;;;;;;;;;70;146;105.4;;;20030;;;;;;;;;;;;;;;;;;;
Dolmayrac;47081;Dolmayrac;291;692;470.4;;22200;;;;;;;;;;;;;;;;;;;;;;;;;292;694;471.9;;;21640;;;;;;;;;;;;;;;;;;;
Dondas;47082;Doas;86;180;127.9;;23600;;;;;;;;;;;;;;;;;;;;;;;;;86;180;127.9;;;21280;;;;;;;;;;;;;;;;;;;
Doudrac;47083;Doudrac;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Douzains;47084;Douzains;110;240;168.4;;20510;;;;;;;;;;;;;;;;;;;;;;;;;109;235;165.4;;;20260;;;;;;;;;;;;;;;;;;;
Durance;47085;Durance;121;235;173.8;;20100;;;;;;;;;;;;;;;;;;;;;;;;;121;235;173.8;;;20210;;;;;;;;;;;;;;;;;;;
Duras;47086;Duras;586;1083;815.8;;20170;;;;;;;;;;;;;;;;;;;;;;;;;587;1083;816.5;;;19570;;;;;;;;;;;;;;;;;;;
Engayrac;47087;Engayrac;58;122;86.6;;20430;;;;;;;;;;;;;;;;;;;;;;;;;58;122;86.6;;;19930;;;;;;;;;;;;;;;;;;;
Escassefort;47088;Escassefort;304;634;446.6;;21340;;;;;;;;;;;;;;;;;;;;;;;;;304;634;446.6;;;20990;;;;;;;;;;;;;;;;;;;
Esclottes;47089;Esclottes;68;135;100.1;;21950;;;;;;;;;;;;;;;;;;;;;;;;;68;136;100.6;;;20990;;;;;;;;;;;;;;;;;;;
Espiens;47090;Espiens;142;323;223.4;;21760;;;;;;;;;;;;;;;;;;;;;;;;;140;319;220.6;;;21240;;;;;;;;;;;;;;;;;;;
Estillac;47091;Estillac;969;2275;1542.8;18490;23300;28980;10490;14040;17320;19510;21500;25120;27630;30670;36300;2.6;3.2;0.235;73.7;67.7;2.6;3.4;27.7;9.3;4.1;2;1.4;0.7;-14.8;969;2275;1542.8;59;17090;23410;30560;13460;11160;15650;18390;20660;26040;28990;32430;39220;3,5;4.5;0.288;67.2;61.6;2.5;3.1;25.9;6.9
Fals;47092;Fals;150;378;253.2;;26160;;;;;;;;;;;;;;;;;;;;;;;;;150;378;253.2;;;26650;;;;;;;;;;;;;;;;;;;
Fargues-sur-Ourbise;47093;Fargues-sur-Ourbise;149;286;211.9;;23730;;;;;;;;;;;;;;;;;;;;;;;;;149;286;211.9;;;23310;;;;;;;;;;;;;;;;;;;
Fauguerolles;47094;Fauguerolles;299;715;480.5;;19730;;;;;;;;;;;;;;;;;;;;;;;;;299;715;480.5;;;18690;;;;;;;;;;;;;;;;;;;
Fauillet;47095;Fauillet;348;780;542.6;;21030;;;;;;;;;;;;;;;;;;;;;;;;;348;780;542.6;;;20170;;;;;;;;;;;;;;;;;;;
Ferrensac;47096;Ferrensac;84;187;129.9;;22260;;;;;;;;;;;;;;;;;;;;;;;;;85;188;130.9;;;21900;;;;;;;;;;;;;;;;;;;
Feugarolles;47097;Feugarolles;352;855;568.4;;19750;;;;;;;;;;;;;;;;;;;;;;;;;351;854;567.4;;;18720;;;;;;;;;;;;;;;;;;;
Fieux;47098;Fieux;127;303;207.4;;23360;;;;;;;;;;;;;;;;;;;;;;;;;127;303;207.4;;;23850;;;;;;;;;;;;;;;;;;;
Fongrave;47099;Fongrave;244;596;401.8;;20120;;;;;;;;;;;;;;;;;;;;;;;;;245;597;402.8;;;18500;;;;;;;;;;;;;;;;;;;
Foulayronnes;47100;Foulayronnes;2346;5293;3661;19460;25560;32180;12730;14120;17890;20790;23190;27830;30390;34080;41890;3;4;0.275;68.4;60.8;2;5.6;33.4;12.1;3.9;1.5;1.7;0.7;-17.8;2347;5294;3662;59;18190;25680;34170;15980;11580;16390;19970;23180;28510;31960;36470;46670;4,0;6.1;0.341;60.8;53.9;1.9;5;30.3;8.9
Fourques-sur-Garonne;47101;Fourques-sur-Garonne;530;1164;816;;24080;;;;;;;;;;;;;;;;;;;;;;;;;530;1164;816;;;24200;;;;;;;;;;;;;;;;;;;
Francescas;47102;Francescas;277;584;411.5;;20870;;;;;;;;;;;;;;;;;;;;;;;;;276;582;410.3;;;19980;;;;;;;;;;;;;;;;;;;
Fréchou;47103;Fréchou;99;198;143.6;;21600;;;;;;;;;;;;;;;;;;;;;;;;;100;199;144.6;;;21140;;;;;;;;;;;;;;;;;;;
Frégimont;47104;Frégimont;107;241;165;;22190;;;;;;;;;;;;;;;;;;;;;;;;;109;244;167.5;;;21450;;;;;;;;;;;;;;;;;;;
Frespech;47105;Frespech;122;279;191.9;;22240;;;;;;;;;;;;;;;;;;;;;;;;;122;279;191.9;;;22010;;;;;;;;;;;;;;;;;;;
Fumel;47106;Fumel;2151;4210;3081.5;13610;18460;23630;10020;10610;12720;14540;16350;20320;22290;25260;30200;2.8;3.5;0.244;47.9;41.7;3.5;2.7;45.9;7.3;9.6;2.3;5.2;2.1;-10.7;2153;4210;3082.9;31;10710;17180;23650;12950;4480;8910;12200;14980;19470;22010;25500;31240;7,0;8.7;0.346;47.9;41.5;3.7;2.7;47.3;4.8
Galapian;47107;Galapian;131;289;201.7;;20530;;;;;;;;;;;;;;;;;;;;;;;;;130;288;200.7;;;19590;;;;;;;;;;;;;;;;;;;
Gaujac;47108;Gaujac;102;223;154.2;;19670;;;;;;;;;;;;;;;;;;;;;;;;;102;223;154.2;;;18870;;;;;;;;;;;;;;;;;;;
Gavaudun;47109;Gavaudun;128;258;187.1;;18840;;;;;;;;;;;;;;;;;;;;;;;;;129;262;189.4;;;17310;;;;;;;;;;;;;;;;;;;
Gontaud-de-Nogaret;47110;Gontaud-de-Nogaret;707;1550;1083.1;;21250;;;;;;;;;;;;;;;;;;;;;;;;;709;1552;1085.1;;;20460;;;;;;;;;;;;;;;;;;;
Granges-sur-Lot;47111;Granges-sur-Lot;258;554;393.2;;19750;;;;;;;;;;;;;;;;;;;;;;;;;258;554;393.2;;;18750;;;;;;;;;;;;;;;;;;;
Grateloup-Saint-Gayrand;47112;Grateloup-Saint-Gayra;182;408;284.7;;20910;;;;;;;;;;;;;;;;;;;;;;;;;182;408;284.7;;;20830;;;;;;;;;;;;;;;;;;;
Grayssas;47113;Grayssas;56;118;84.6;;24590;;;;;;;;;;;;;;;;;;;;;;;;;56;118;84.6;;;24000;;;;;;;;;;;;;;;;;;;
Grézet-Cavagnan;47114;Grézet-Cavagnan;157;362;248.3;;22090;;;;;;;;;;;;;;;;;;;;;;;;;157;362;248.3;;;20960;;;;;;;;;;;;;;;;;;;
Guérin;47115;Guérin;107;239;167;;22740;;;;;;;;;;;;;;;;;;;;;;;;;106;238;166;;;23400;;;;;;;;;;;;;;;;;;;
Hautefage-la-Tour;47117;Hautefage-la-Tour;397;929;627.6;;23090;;;;;;;;;;;;;;;;;;;;;;;;;397;929;627.6;;;22790;;;;;;;;;;;;;;;;;;;
Hautesvignes;47118;Hautesvignes;67;158;108.8;;20460;;;;;;;;;;;;;;;;;;;;;;;;;68;159;109.8;;;19860;;;;;;;;;;;;;;;;;;;
Houeillès;47119;Houeillès;278;509;385;;19790;;;;;;;;;;;;;;;;;;;;;;;;;278;509;385;;;19330;;;;;;;;;;;;;;;;;;;
Jusix;47120;Jusix;42;106;70.2;;19490;;;;;;;;;;;;;;;;;;;;;;;;;42;106;70.2;;;19490;;;;;;;;;;;;;;;;;;;
Labastide-Castel-Amouroux;47121;Labastide-Castel-Amouroux;135;280;200.2;;20360;;;;;;;;;;;;;;;;;;;;;;;;;135;280;200.2;;;20330;;;;;;;;;;;;;;;;;;;
Labretonie;47122;Labretonie;75;168;116.3;;25070;;;;;;;;;;;;;;;;;;;;;;;;;74;166;114.8;;;23360;;;;;;;;;;;;;;;;;;;
Lacapelle-Biron;47123;Lacapelle-Biron;175;352;255.8;;20090;;;;;;;;;;;;;;;;;;;;;;;;;175;352;255.8;;;19320;;;;;;;;;;;;;;;;;;;
Lacaussade;47124;Lacaussade;84;189;130.2;;20250;;;;;;;;;;;;;;;;;;;;;;;;;84;189;130.2;;;19370;;;;;;;;;;;;;;;;;;;
Lacépède;47125;Lacépède;121;271;187.1;;24100;;;;;;;;;;;;;;;;;;;;;;;;;121;271;187.1;;;22460;;;;;;;;;;;;;;;;;;;
Lachapelle;47126;Lachapelle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lafitte-sur-Lot;47127;Lafitte-sur-Lot;319;740;504.4;;18630;;;;;;;;;;;;;;;;;;;;;;;;;320;742;505.7;;;17390;;;;;;;;;;;;;;;;;;;
Lafox;47128;Lafox;458;995;699.9;;23590;;;;;;;;;;;;;;;;;;;;;;;;;458;995;699.9;;;23020;;;;;;;;;;;;;;;;;;;
Lagarrigue;47129;Lagarrigue;110;259;177.2;;23600;;;;;;;;;;;;;;;;;;;;;;;;;110;259;177.2;;;23110;;;;;;;;;;;;;;;;;;;
Lagruère;47130;Lagruère;140;334;225.4;;19850;;;;;;;;;;;;;;;;;;;;;;;;;140;334;225.4;;;19760;;;;;;;;;;;;;;;;;;;
Lagupie;47131;Lagupie;279;653;448.2;;24110;;;;;;;;;;;;;;;;;;;;;;;;;280;654;449.2;;;24270;;;;;;;;;;;;;;;;;;;
Lalandusse;47132;Lalausse;89;199;138.8;;22360;;;;;;;;;;;;;;;;;;;;;;;;;88;195;136.3;;;21900;;;;;;;;;;;;;;;;;;;
Lamontjoie;47133;Lamontjoie;213;458;322.2;;22540;;;;;;;;;;;;;;;;;;;;;;;;;213;458;322.2;;;21990;;;;;;;;;;;;;;;;;;;
Lannes;47134;Lannes;141;312;217.8;;21820;;;;;;;;;;;;;;;;;;;;;;;;;141;312;217.8;;;21040;;;;;;;;;;;;;;;;;;;
Laparade;47135;Laparade;172;363;258.7;;20520;;;;;;;;;;;;;;;;;;;;;;;;;173;364;259.7;;;20710;;;;;;;;;;;;;;;;;;;
Laperche;47136;Laperche;60;125;88.9;;18520;;;;;;;;;;;;;;;;;;;;;;;;;60;125;88.9;;;18240;;;;;;;;;;;;;;;;;;;
Laplume;47137;Laplume;535;1212;838.7;;24250;;;;;;;;;;;;;;;;;;;;;;;;;537;1218;842.3;;;23880;;;;;;;;;;;;;;;;;;;
Laroque-Timbaut;47138;Laroque-Timbaut;742;1610;1127.6;;24010;;;;;;;;;;;;;;;;;;;;;;;;;742;1610;1127.6;;;24140;;;;;;;;;;;;;;;;;;;
Lasserre;47139;Lasserre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Laugnac;47140;Laugnac;255;605;411.4;;23310;;;;;;;;;;;;;;;;;;;;;;;;;255;605;411.4;;;23330;;;;;;;;;;;;;;;;;;;
Laussou;47141;Laussou;131;291;202.6;;20600;;;;;;;;;;;;;;;;;;;;;;;;;132;293;204.1;;;19870;;;;;;;;;;;;;;;;;;;
Lauzun;47142;Lauzun;321;626;461.5;;19850;;;;;;;;;;;;;;;;;;;;;;;;;322;627;462.5;;;18610;;;;;;;;;;;;;;;;;;;
Lavardac;47143;Lavardac;992;2066;1474.8;14870;20160;26340;11480;11080;13500;15850;18270;22220;24340;27880;32560;2.9;3.5;0.246;56.1;48.6;2.9;4.6;42.8;6.9;6.7;2.1;3.2;1.4;-12.5;993;2069;1476.8;39;12680;19390;26740;14060;6590;11090;14310;16920;21830;24060;28560;34230;5,2;6.7;0.328;53.6;46.2;3;4.4;42.1;4.3
Lavergne;47144;Lavergne;226;490;344.8;;20570;;;;;;;;;;;;;;;;;;;;;;;;;225;489;343.8;;;19820;;;;;;;;;;;;;;;;;;;
Layrac;47145;Layrac;1617;3504;2455.4;17510;23000;28980;11470;13220;16100;19070;20990;24920;27710;31040;36850;2.8;3.2;0.228;70.7;62.5;3.2;5;32.5;6.8;5.1;1.9;2.2;1;-15.1;1617;3500;2453.6;53;16440;22880;30380;13940;9870;14770;18020;20340;25540;28530;32710;40180;4,1;5;0.292;65;57.3;3.1;4.6;30.7;4.3
Lédat;47146;Lédat;525;1289;870.5;;22530;;;;;;;;;;;;;;;;;;;;;;;;;525;1289;870.5;;;22310;;;;;;;;;;;;;;;;;;;
Lévignac-de-Guyenne;47147;Lévignac-de-Guyenne;299;570;422.7;;21050;;;;;;;;;;;;;;;;;;;;;;;;;299;570;422.7;;;20440;;;;;;;;;;;;;;;;;;;
Leyritz-Moncassin;47148;Leyritz-Moncassin;80;171;121.1;;19050;;;;;;;;;;;;;;;;;;;;;;;;;79;170;120.1;;;18560;;;;;;;;;;;;;;;;;;;
Longueville;47150;Longueville;160;358;247.7;;21240;;;;;;;;;;;;;;;;;;;;;;;;;160;358;247.7;;;20710;;;;;;;;;;;;;;;;;;;
Loubès-Bernac;47151;Loubès-Bernac;173;345;252.2;;19470;;;;;;;;;;;;;;;;;;;;;;;;;173;345;252.2;;;18880;;;;;;;;;;;;;;;;;;;
Lougratte;47152;Lougratte;179;387;272.6;;18970;;;;;;;;;;;;;;;;;;;;;;;;;179;387;272.6;;;18170;;;;;;;;;;;;;;;;;;;
Lusignan-Petit;47154;Lusignan-Petit;134;325;218;;24850;;;;;;;;;;;;;;;;;;;;;;;;;134;325;218;;;24240;;;;;;;;;;;;;;;;;;;
Madaillan;47155;Madaillan;241;576;391.7;;26260;;;;;;;;;;;;;;;;;;;;;;;;;242;578;393.2;;;25740;;;;;;;;;;;;;;;;;;;
Marcellus;47156;Marcellus;348;803;549.4;;21840;;;;;;;;;;;;;;;;;;;;;;;;;349;804;550.4;;;21560;;;;;;;;;;;;;;;;;;;
Marmande;47157;Marmae;8375;16186;11856;14250;19840;25930;11680;10610;13220;15430;17630;22000;24480;27830;33840;3.2;4.1;0.276;59.2;51.1;2.7;5.4;37.9;8;8.5;2.2;4.3;2;-13.6;8377;16186;11857;41;11280;18880;26570;15280;4510;9390;13080;16030;21720;24710;28700;36220;8,0;10.2;0.378;56.9;49;2.8;5.1;37.6;5.5
Marmont-Pachas;47158;Marmont-Pachas;61;161;104.6;;22860;;;;;;;;;;;;;;;;;;;;;;;;;61;161;104.6;;;22730;;;;;;;;;;;;;;;;;;;
Le Mas-d'Agenais;47159;Le Mas-d'Agenais;578;1242;875.2;;20820;;;;;;;;;;;;;;;;;;;;;;;;;578;1240;874.4;;;20240;;;;;;;;;;;;;;;;;;;
Masquières;47160;Masquières;75;145;107;;17660;;;;;;;;;;;;;;;;;;;;;;;;;74;144;106;;;17760;;;;;;;;;;;;;;;;;;;
Massels;47161;Massels;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Massoulès;47162;Massoulès;82;200;135.2;;22460;;;;;;;;;;;;;;;;;;;;;;;;;82;200;135.2;;;21760;;;;;;;;;;;;;;;;;;;
Mauvezin-sur-Gupie;47163;Mauvezin-sur-Gupie;250;613;411.8;;22190;;;;;;;;;;;;;;;;;;;;;;;;;250;613;411.8;;;22440;;;;;;;;;;;;;;;;;;;
Mazières-Naresse;47164;Mazières-Naresse;49;101;73.6;;19840;;;;;;;;;;;;;;;;;;;;;;;;;51;104;76.1;;;18470;;;;;;;;;;;;;;;;;;;
Meilhan-sur-Garonne;47165;Meilhan-sur-Garonne;523;1072;764;;20060;;;;;;;;;;;;;;;;;;;;;;;;;524;1075;766;;;19000;;;;;;;;;;;;;;;;;;;
Mézin;47167;Mézin;640;1227;905;;20110;;;;;;;;;;;;;;;;;;;;;;;;;640;1227;905;;;19000;;;;;;;;;;;;;;;;;;;
Miramont-de-Guyenne;47168;Miramont-de-Guyenne;1528;2790;2100.3;13960;18350;23670;9710;10740;13120;14890;16600;20310;22300;25120;29470;2.7;3.3;0.238;45.8;39;2.9;3.9;47.5;7.1;9.8;2.1;5.5;2.2;-10.2;1527;2789;2099.3;29;11420;17130;23500;12080;5140;9870;12560;15190;19350;21560;25110;30320;5,9;7.6;0.334;46;39;3.1;3.9;49.4;4.6
Moirax;47169;Moirax;501;1192;814.4;;26840;;;;;;;;;;;;;;;;;;;;;;;;;500;1191;813.4;;;28080;;;;;;;;;;;;;;;;;;;
Monbahus;47170;Monbahus;265;564;400.7;;19610;;;;;;;;;;;;;;;;;;;;;;;;;266;568;403.2;;;18400;;;;;;;;;;;;;;;;;;;
Monbalen;47171;Monbalen;170;395;269.2;;22590;;;;;;;;;;;;;;;;;;;;;;;;;170;395;269.2;;;22200;;;;;;;;;;;;;;;;;;;
Moncaut;47172;Moncaut;236;613;402.2;;25440;;;;;;;;;;;;;;;;;;;;;;;;;237;617;404.7;;;25520;;;;;;;;;;;;;;;;;;;
Monclar;47173;Monclar;375;761;547.1;;20500;;;;;;;;;;;;;;;;;;;;;;;;;375;761;547.1;;;20100;;;;;;;;;;;;;;;;;;;
Moncrabeau;47174;Moncrabeau;316;659;471.6;;22920;;;;;;;;;;;;;;;;;;;;;;;;;316;659;471.6;;;22390;;;;;;;;;;;;;;;;;;;
Monflanquin;47175;Monflanquin;1035;2170;1548.7;16390;21290;27940;11550;11980;14800;17360;19220;23930;26440;30120;36180;3;4;0.271;58.2;48.6;2.6;7;40.1;11.2;4.4;1.4;2.1;0.9;-13.9;1035;2167;1547.4;44;14980;20600;28960;13990;9900;13650;16120;18580;23850;26900;30820;37860;3,8;5.7;0.324;53.9;44.9;2.5;6.5;38.4;7.7
Montgaillard-en-Albret;47176;Montgaillard-en-Albret;72;145;104.1;;21310;;;;;;;;;;;;;;;;;;;;;;;;;72;145;104.1;;;21090;;;;;;;;;;;;;;;;;;;
Monheurt;47177;Monheurt;76;167;114.9;;19000;;;;;;;;;;;;;;;;;;;;;;;;;76;167;114.9;;;16940;;;;;;;;;;;;;;;;;;;
Monségur;47178;Monségur;166;363;256.8;;22200;;;;;;;;;;;;;;;;;;;;;;;;;166;363;256.8;;;21590;;;;;;;;;;;;;;;;;;;
Monsempron-Libos;47179;Monsempron-Libos;930;1778;1314.2;;18910;;;;;;;;;;;;;;;;;;;;;;;;;931;1780;1315.7;;;17890;;;;;;;;;;;;;;;;;;;
Montagnac-sur-Auvignon;47180;Montagnac-sur-Auvignon;240;555;382;;23760;;;;;;;;;;;;;;;;;;;;;;;;;240;555;382;;;23810;;;;;;;;;;;;;;;;;;;
Montagnac-sur-Lède;47181;Montagnac-sur-Lède;121;259;184.5;;20900;;;;;;;;;;;;;;;;;;;;;;;;;122;260;185.5;;;20570;;;;;;;;;;;;;;;;;;;
Montastruc;47182;Montastruc;105;213;156.2;;18860;;;;;;;;;;;;;;;;;;;;;;;;;105;213;156.2;;;18050;;;;;;;;;;;;;;;;;;;
Montauriol;47183;Montauriol;95;184;135.9;;21200;;;;;;;;;;;;;;;;;;;;;;;;;95;184;135.9;;;21100;;;;;;;;;;;;;;;;;;;
Montaut;47184;Montaut;113;249;174.8;;20360;;;;;;;;;;;;;;;;;;;;;;;;;113;249;174.8;;;19690;;;;;;;;;;;;;;;;;;;
Montayral;47185;Montayral;1226;2461;1791.7;15980;20300;25310;9330;12490;15040;16860;18720;21890;23880;27030;32130;2.6;3.3;0.234;47.4;42.1;2.7;2.6;50;8.9;5.5;1.9;2.7;0.9;-11.8;1225;2458;1790.1;40;14010;19610;25820;11810;8540;12890;15490;17620;21840;24060;27800;34150;4,0;5.4;0.305;45.2;39.9;2.8;2.5;48.9;5.9
Montesquieu;47186;Montesquieu;295;676;466.4;;22610;;;;;;;;;;;;;;;;;;;;;;;;;295;676;466.4;;;22280;;;;;;;;;;;;;;;;;;;
Monteton;47187;Monteton;121;268;187.1;;20420;;;;;;;;;;;;;;;;;;;;;;;;;121;268;187.1;;;19010;;;;;;;;;;;;;;;;;;;
Montignac-de-Lauzun;47188;Montignac-de-Lauzun;117;238;174.3;;17840;;;;;;;;;;;;;;;;;;;;;;;;;117;238;174.3;;;17470;;;;;;;;;;;;;;;;;;;
Montignac-Toupinerie;47189;Montignac-Toupinerie;63;137;96.3;;21800;;;;;;;;;;;;;;;;;;;;;;;;;63;137;96.3;;;20070;;;;;;;;;;;;;;;;;;;
Montpezat;47190;Montpezat;230;496;351;;20230;;;;;;;;;;;;;;;;;;;;;;;;;228;490;347.4;;;20090;;;;;;;;;;;;;;;;;;;
Montpouillan;47191;Montpouillan;313;726;495.4;;22030;;;;;;;;;;;;;;;;;;;;;;;;;314;727;496.4;;;22060;;;;;;;;;;;;;;;;;;;
Monviel;47192;Monviel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moulinet;47193;Moulinet;76;168;117.2;;21210;;;;;;;;;;;;;;;;;;;;;;;;;76;168;117.2;;;21660;;;;;;;;;;;;;;;;;;;
Moustier;47194;Moustier;126;272;193.6;;19820;;;;;;;;;;;;;;;;;;;;;;;;;126;272;193.6;;;20440;;;;;;;;;;;;;;;;;;;
Nérac;47195;Nérac;3192;6331;4601.4;15250;21200;27770;12520;11260;14160;16560;18940;23540;26270;29930;36480;3.2;3.8;0.261;58.2;48.6;3;6.6;40.6;8.5;6.2;1.9;2.9;1.4;-13.5;3197;6338;4607.4;44;13390;20680;28660;15270;6890;11520;15050;17850;23430;26910;31210;39600;5,7;7.2;0.336;55.1;45.7;3.1;6.3;39.4;5.5
Nicole;47196;Nicole;95;231;156.3;;18690;;;;;;;;;;;;;;;;;;;;;;;;;95;231;156.3;;;19080;;;;;;;;;;;;;;;;;;;
Nomdieu;47197;Nomdieu;96;227;153.4;;23210;;;;;;;;;;;;;;;;;;;;;;;;;96;227;153.4;;;22130;;;;;;;;;;;;;;;;;;;
Pailloles;47198;Pailloles;131;317;216;;22450;;;;;;;;;;;;;;;;;;;;;;;;;131;317;216;;;22440;;;;;;;;;;;;;;;;;;;
Pardaillan;47199;Pardaillan;125;306;205.2;;18460;;;;;;;;;;;;;;;;;;;;;;;;;126;311;208;;;18110;;;;;;;;;;;;;;;;;;;
